Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.51339,0.51562,0.51339,0.51339,0.41532,117258400.00000
1980-12-15,0.48884,0.48884,0.48661,0.48661,0.39365,43971200.00000
1980-12-16,0.45312,0.45312,0.45089,0.45089,0.36476,26432000.00000
1980-12-17,0.46205,0.46429,0.46205,0.46205,0.37379,21610400.00000
1980-12-18,0.47545,0.47768,0.47545,0.47545,0.38462,18362400.00000
1980-12-19,0.50446,0.50670,0.50446,0.50446,0.40809,12157600.00000
1980-12-22,0.52902,0.53125,0.52902,0.52902,0.42796,9340800.00000
1980-12-23,0.55134,0.55357,0.55134,0.55134,0.44601,11737600.00000
1980-12-24,0.58036,0.58259,0.58036,0.58036,0.46949,12000800.00000
1980-12-26,0.63393,0.63616,0.63393,0.63393,0.51283,13893600.00000
1980-12-29,0.64286,0.64509,0.64286,0.64286,0.52005,23290400.00000
1980-12-30,0.62946,0.62946,0.62723,0.62723,0.50741,17220000.00000
1980-12-31,0.61161,0.61161,0.60938,0.60938,0.49296,8937600.00000
1981-01-02,0.61607,0.62054,0.61607,0.61607,0.49838,5415200.00000
1981-01-05,0.60491,0.60491,0.60268,0.60268,0.48755,8932000.00000
1981-01-06,0.57812,0.57812,0.57589,0.57589,0.46588,11289600.00000
1981-01-07,0.55357,0.55357,0.55134,0.55134,0.44601,13921600.00000
1981-01-08,0.54241,0.54241,0.54018,0.54018,0.43699,9956800.00000
1981-01-09,0.56920,0.57143,0.56920,0.56920,0.46046,5376000.00000
1981-01-12,0.56920,0.56920,0.56473,0.56473,0.45685,5924800.00000
1981-01-13,0.54688,0.54688,0.54464,0.54464,0.44060,5762400.00000
1981-01-14,0.54688,0.54911,0.54688,0.54688,0.44240,3572800.00000
1981-01-15,0.55804,0.56250,0.55804,0.55804,0.45143,3516800.00000
1981-01-16,0.55580,0.55580,0.55357,0.55357,0.44782,3348800.00000
1981-01-19,0.58705,0.58929,0.58705,0.58705,0.47491,10393600.00000
1981-01-20,0.57143,0.57143,0.56920,0.56920,0.46046,7520800.00000
1981-01-21,0.58036,0.58482,0.58036,0.58036,0.46949,3976000.00000
1981-01-22,0.58705,0.59152,0.58705,0.58705,0.47491,8887200.00000
1981-01-23,0.58705,0.58929,0.58482,0.58482,0.47310,2805600.00000
1981-01-26,0.57812,0.57812,0.57589,0.57589,0.46588,6160000.00000
1981-01-27,0.57589,0.57589,0.57143,0.57143,0.46227,5924800.00000
1981-01-28,0.55580,0.55580,0.55357,0.55357,0.44782,7039200.00000
1981-01-29,0.53571,0.53571,0.53348,0.53348,0.43157,10976000.00000
1981-01-30,0.50893,0.50893,0.50446,0.50446,0.40809,11547200.00000
1981-02-02,0.47768,0.47768,0.47545,0.47545,0.38462,5941600.00000
1981-02-03,0.49330,0.49554,0.49330,0.49330,0.39907,4788000.00000
1981-02-04,0.51116,0.51339,0.51116,0.51116,0.41351,6966400.00000
1981-02-05,0.51116,0.51562,0.51116,0.51116,0.41351,1982400.00000
1981-02-06,0.51339,0.51562,0.51339,0.51339,0.41532,3466400.00000
1981-02-09,0.49107,0.49107,0.48661,0.48661,0.39365,4188800.00000
1981-02-10,0.48661,0.48884,0.48661,0.48661,0.39365,4586400.00000
1981-02-11,0.47321,0.47321,0.47098,0.47098,0.38101,3460800.00000
1981-02-12,0.46875,0.46875,0.46652,0.46652,0.37740,3640000.00000
1981-02-13,0.45982,0.45982,0.45536,0.45536,0.36837,2788800.00000
1981-02-17,0.46652,0.46875,0.46652,0.46652,0.37740,3068800.00000
1981-02-18,0.48661,0.49107,0.48661,0.48661,0.39365,4810400.00000
1981-02-19,0.45982,0.45982,0.45759,0.45759,0.37017,5577600.00000
1981-02-20,0.43527,0.43527,0.43304,0.43304,0.35031,6092800.00000
1981-02-23,0.43973,0.44196,0.43973,0.43973,0.35573,3528000.00000
1981-02-24,0.42857,0.42857,0.42411,0.42411,0.34309,4244800.00000
1981-02-25,0.45089,0.45312,0.45089,0.45089,0.36476,4872000.00000
1981-02-26,0.45759,0.45982,0.45759,0.45759,0.37017,2710400.00000
1981-02-27,0.47321,0.47768,0.47321,0.47321,0.38281,3690400.00000
1981-03-02,0.47545,0.47768,0.47545,0.47545,0.38462,2940000.00000
1981-03-03,0.47098,0.47098,0.46875,0.46875,0.37920,4043200.00000
1981-03-04,0.46652,0.46652,0.46429,0.46429,0.37559,3427200.00000
1981-03-05,0.46429,0.46429,0.46205,0.46205,0.37379,1344000.00000
1981-03-06,0.46205,0.46205,0.45759,0.45759,0.37017,2900800.00000
1981-03-09,0.42411,0.42411,0.42188,0.42188,0.34128,3830400.00000
1981-03-10,0.40402,0.40402,0.40179,0.40179,0.32503,7095200.00000
1981-03-11,0.39062,0.39062,0.38616,0.38616,0.31239,7464800.00000
1981-03-12,0.40179,0.40402,0.40179,0.40179,0.32503,14812000.00000
1981-03-13,0.39955,0.39955,0.39732,0.39732,0.32142,57825600.00000
1981-03-16,0.41295,0.41741,0.41295,0.41295,0.33406,9307200.00000
1981-03-17,0.43304,0.43750,0.43304,0.43304,0.35031,10936800.00000
1981-03-18,0.45982,0.46429,0.45982,0.45982,0.37198,9234400.00000
1981-03-19,0.45759,0.45759,0.45536,0.45536,0.36837,9452800.00000
1981-03-20,0.45982,0.46429,0.45982,0.45982,0.37198,3651200.00000
1981-03-23,0.47768,0.48214,0.47768,0.47768,0.38643,5504800.00000
1981-03-24,0.47768,0.47768,0.47545,0.47545,0.38462,7039200.00000
1981-03-25,0.47098,0.47098,0.46652,0.46652,0.37740,1764000.00000
1981-03-26,0.45982,0.45982,0.45759,0.45759,0.37017,3068800.00000
1981-03-27,0.44420,0.44420,0.44196,0.44196,0.35753,3063200.00000
1981-03-30,0.44196,0.44643,0.44196,0.44196,0.35753,2475200.00000
1981-03-31,0.44196,0.44196,0.43750,0.43750,0.35392,3998400.00000
1981-04-01,0.43527,0.43527,0.43304,0.43304,0.35031,8517600.00000
1981-04-02,0.47098,0.47321,0.47098,0.47098,0.38101,7851200.00000
1981-04-03,0.47321,0.47545,0.47321,0.47321,0.38281,4121600.00000
1981-04-06,0.46652,0.46652,0.46429,0.46429,0.37559,5700800.00000
1981-04-07,0.46205,0.46205,0.45982,0.45982,0.37198,2671200.00000
1981-04-08,0.48214,0.48661,0.48214,0.48214,0.39004,5488000.00000
1981-04-09,0.49107,0.49330,0.49107,0.49107,0.39726,3124800.00000
1981-04-10,0.49777,0.50000,0.49777,0.49777,0.40268,8366400.00000
1981-04-13,0.49777,0.50000,0.49777,0.49777,0.40268,4015200.00000
1981-04-14,0.49777,0.50000,0.49777,0.49777,0.40268,1663200.00000
1981-04-15,0.47545,0.47545,0.47321,0.47321,0.38281,8512000.00000
1981-04-16,0.44866,0.44866,0.44643,0.44643,0.36115,5969600.00000
1981-04-20,0.45982,0.46205,0.45982,0.45982,0.37198,8836800.00000
1981-04-21,0.49107,0.49330,0.49107,0.49107,0.39726,7134400.00000
1981-04-22,0.50893,0.51116,0.50893,0.50893,0.41171,4748800.00000
1981-04-23,0.52232,0.52455,0.52232,0.52232,0.42254,14504000.00000
1981-04-24,0.52232,0.52232,0.51786,0.51786,0.41893,8764000.00000
1981-04-27,0.51562,0.51562,0.51339,0.51339,0.41532,9632000.00000
1981-04-28,0.50670,0.50670,0.50446,0.50446,0.40809,8047200.00000
1981-04-29,0.50000,0.50000,0.49777,0.49777,0.40268,3410400.00000
1981-04-30,0.50670,0.51116,0.50670,0.50670,0.40990,3152800.00000
1981-05-01,0.50670,0.51116,0.50670,0.50670,0.40990,4138400.00000
1981-05-04,0.50670,0.50670,0.50446,0.50446,0.40809,3612000.00000
1981-05-05,0.50446,0.50446,0.50223,0.50223,0.40629,4384800.00000
1981-05-06,0.49107,0.49107,0.48884,0.48884,0.39546,4737600.00000
1981-05-07,0.49554,0.49777,0.49554,0.49554,0.40087,2340800.00000
1981-05-08,0.50000,0.50223,0.50000,0.50000,0.40448,1976800.00000
1981-05-11,0.49107,0.49107,0.48884,0.48884,0.39546,2984800.00000
1981-05-12,0.48884,0.49554,0.48884,0.48884,0.39546,1064000.00000
1981-05-13,0.48884,0.49330,0.48661,0.48661,0.39365,1226400.00000
1981-05-14,0.48438,0.48438,0.47991,0.47991,0.38823,1232000.00000
1981-05-15,0.49107,0.49777,0.49107,0.49107,0.39726,1226400.00000
1981-05-18,0.50000,0.50446,0.50000,0.50000,0.40448,1041600.00000
1981-05-19,0.49330,0.49330,0.49107,0.49107,0.39726,6356000.00000
1981-05-20,0.50670,0.51116,0.50670,0.50670,0.40990,3320800.00000
1981-05-21,0.53571,0.53795,0.53571,0.53571,0.43338,8052800.00000
1981-05-22,0.56027,0.56473,0.56027,0.56027,0.45324,7856800.00000
1981-05-26,0.56027,0.56027,0.55804,0.55804,0.45143,21336000.00000
1981-05-27,0.58929,0.59152,0.58929,0.58929,0.47671,37374400.00000
1981-05-28,0.58929,0.59152,0.58929,0.58929,0.47671,18496800.00000
1981-05-29,0.59152,0.59375,0.59152,0.59152,0.47852,14845600.00000
1981-06-01,0.59152,0.59375,0.59152,0.59152,0.47852,12812800.00000
1981-06-02,0.56473,0.56473,0.56250,0.56250,0.45504,10108000.00000
1981-06-03,0.56250,0.56696,0.56250,0.56250,0.45504,9861600.00000
1981-06-04,0.57366,0.57589,0.57366,0.57366,0.46407,14016800.00000
1981-06-05,0.56696,0.56696,0.56473,0.56473,0.45685,14420000.00000
1981-06-08,0.54688,0.54688,0.54464,0.54464,0.44060,23374400.00000
1981-06-09,0.55580,0.55804,0.55580,0.55580,0.44963,29898400.00000
1981-06-10,0.56250,0.56920,0.56250,0.56250,0.45504,6305600.00000
1981-06-11,0.58705,0.58929,0.58705,0.58705,0.47491,9744000.00000
1981-06-12,0.58259,0.58259,0.58036,0.58036,0.46949,6451200.00000
1981-06-15,0.58036,0.58036,0.57812,0.57812,0.46768,35940800.00000
1981-06-16,0.56920,0.56920,0.56696,0.56696,0.45866,9312800.00000
1981-06-17,0.56027,0.56027,0.55804,0.55804,0.45143,6893600.00000
1981-06-18,0.55804,0.56027,0.55580,0.55580,0.44963,5762400.00000
1981-06-19,0.54241,0.54241,0.54018,0.54018,0.43699,6876800.00000
1981-06-22,0.52232,0.52232,0.52009,0.52009,0.42074,2710400.00000
1981-06-23,0.52902,0.53348,0.52902,0.52902,0.42796,3757600.00000
1981-06-24,0.52009,0.52009,0.51562,0.51562,0.41712,5756800.00000
1981-06-25,0.52679,0.52902,0.52679,0.52679,0.42615,6064800.00000
1981-06-26,0.52455,0.52455,0.52009,0.52009,0.42074,5947200.00000
1981-06-29,0.50670,0.50670,0.50223,0.50223,0.40629,2648800.00000
1981-06-30,0.46652,0.46652,0.46429,0.46429,0.37559,8976800.00000
1981-07-01,0.46205,0.46205,0.45982,0.45982,0.37198,42616000.00000
1981-07-02,0.45982,0.46205,0.45982,0.45982,0.37198,7571200.00000
1981-07-06,0.44866,0.44866,0.44420,0.44420,0.35934,4132800.00000
1981-07-07,0.44866,0.45312,0.44866,0.44866,0.36295,3959200.00000
1981-07-08,0.46652,0.46875,0.46652,0.46652,0.37740,4155200.00000
1981-07-09,0.43304,0.43304,0.43080,0.43080,0.34851,8220800.00000
1981-07-10,0.39955,0.39955,0.39732,0.39732,0.32142,13792800.00000
1981-07-13,0.40625,0.40848,0.40625,0.40625,0.32864,11435200.00000
1981-07-14,0.42411,0.42857,0.42411,0.42411,0.34309,4944800.00000
1981-07-15,0.43527,0.43750,0.43527,0.43527,0.35212,2738400.00000
1981-07-16,0.44643,0.45089,0.44643,0.44643,0.36115,3808000.00000
1981-07-17,0.46205,0.46429,0.46205,0.46205,0.37379,4956000.00000
1981-07-20,0.43304,0.43304,0.43080,0.43080,0.34851,5913600.00000
1981-07-21,0.43080,0.43080,0.42857,0.42857,0.34670,7985600.00000
1981-07-22,0.40848,0.40848,0.40402,0.40402,0.32684,5667200.00000
1981-07-23,0.41518,0.41741,0.41518,0.41518,0.33587,8612800.00000
1981-07-24,0.42857,0.43080,0.42857,0.42857,0.34670,7212800.00000
1981-07-27,0.44643,0.44866,0.44643,0.44643,0.36115,4334400.00000
1981-07-28,0.43304,0.43304,0.43080,0.43080,0.34851,5712000.00000
1981-07-29,0.42634,0.42634,0.42411,0.42411,0.34309,3875200.00000
1981-07-30,0.43973,0.44420,0.43973,0.43973,0.35573,2475200.00000
1981-07-31,0.44643,0.44866,0.44643,0.44643,0.36115,2738400.00000
1981-08-03,0.44643,0.44643,0.44196,0.44196,0.35753,3108000.00000
1981-08-04,0.44866,0.45089,0.44866,0.44866,0.36295,7918400.00000
1981-08-05,0.46205,0.46429,0.46205,0.46205,0.37379,4373600.00000
1981-08-06,0.45312,0.45312,0.45089,0.45089,0.36476,2632000.00000
1981-08-07,0.45089,0.45312,0.45089,0.45089,0.36476,2301600.00000
1981-08-10,,,,,,
1981-08-11,0.44196,0.44196,0.43750,0.43750,0.35392,17864000.00000
1981-08-12,0.43080,0.43080,0.42857,0.42857,0.34670,6568800.00000
1981-08-13,0.41741,0.41741,0.41518,0.41518,0.33587,6871200.00000
1981-08-14,0.41295,0.41295,0.40848,0.40848,0.33045,6048000.00000
1981-08-17,0.39955,0.39955,0.39509,0.39509,0.31961,4726400.00000
1981-08-18,0.39062,0.39062,0.38616,0.38616,0.31239,4250400.00000
