Date,Open,High,Low,Close,Adj Close,Volume
2013-09-12,25.620001,25.750000,25.280001,25.400000,24.050474,2557000
2013-09-13,25.379999,25.629999,25.120001,25.270000,23.927382,1957700
2013-09-16,25.590000,25.639999,25.230000,25.309999,23.965260,1878900
2013-09-17,25.440001,25.889999,25.400000,25.680000,24.315598,2812100
2013-09-18,25.750000,25.910000,25.520000,25.770000,24.400818,1814500
2013-09-19,25.879999,25.910000,25.540001,25.629999,24.268251,1704100
2013-09-20,25.680000,26.000000,25.590000,25.590000,24.230379,3584400
2013-09-23,26.150000,26.299999,25.629999,25.860001,24.486034,3084600
2013-09-24,25.850000,26.120001,25.570000,25.830000,24.457628,2379100
2013-09-25,25.570000,25.610001,24.879999,25.129999,23.794821,3925700
2013-09-26,25.150000,25.410000,24.860001,25.010000,23.681196,2334000
2013-09-27,24.860001,25.150000,24.549999,24.770000,23.453949,2441100
2013-09-30,24.469999,25.070000,24.260000,24.840000,23.520226,2200100
2013-10-01,24.930000,25.610001,24.850000,25.559999,24.201971,3182700
2013-10-02,25.299999,25.680000,25.080000,25.190001,23.851629,2122000
2013-10-03,25.100000,25.309999,24.650000,24.920000,23.595982,2039000
2013-10-04,25.040001,25.850000,24.940001,25.639999,24.277725,2479700
2013-10-07,25.379999,25.660000,25.120001,25.290001,23.946318,1574000
2013-10-08,25.139999,25.440001,24.690001,24.870001,23.548635,2147100
2013-10-09,24.900000,24.950001,24.540001,24.700001,23.387667,1968600
2013-10-10,24.950001,25.230000,24.950001,25.080000,23.747478,2241200
2013-10-11,25.000000,25.160000,24.879999,25.049999,23.719067,1898100
2013-10-14,24.820000,25.270000,24.760000,25.209999,23.870569,1701300
2013-10-15,25.180000,25.299999,24.809999,24.850000,23.529697,1964700
2013-10-16,25.070000,25.240000,24.920000,25.190001,23.851629,2032000
2013-10-17,25.070000,25.090000,24.540001,24.600000,23.292978,4071800
2013-10-18,24.709999,24.940001,24.309999,24.920000,23.595982,2740300
2013-10-21,25.000000,25.610001,24.990000,25.600000,24.239847,2537000
2013-10-22,25.629999,25.700001,25.090000,25.299999,23.955791,2395500
2013-10-23,24.920000,24.940001,23.270000,23.840000,22.573359,7189300
2013-10-24,23.600000,23.860001,23.420000,23.709999,22.450266,4276400
2013-10-25,23.850000,24.000000,23.740000,23.860001,22.592297,2413100
2013-10-28,24.070000,24.379999,24.020000,24.240000,22.952106,3159800
2013-10-29,24.420000,24.639999,24.360001,24.610001,23.302446,2396700
2013-10-30,24.620001,24.740000,24.270000,24.480000,23.179354,4003400
2013-10-31,26.299999,26.299999,25.600000,25.799999,24.429218,7206700
2013-11-01,25.860001,26.129999,25.820000,25.969999,24.590187,4626400
2013-11-04,26.139999,26.150000,25.770000,25.809999,24.438686,2257800
2013-11-05,25.680000,26.010000,25.459999,25.809999,24.438686,1783600
2013-11-06,26.000000,26.200001,25.780001,26.180000,24.789032,2207000
2013-11-07,26.129999,26.200001,25.209999,25.250000,23.908447,3472400
2013-11-08,25.280001,25.410000,25.000000,25.350000,24.003130,2034400
2013-11-11,25.209999,25.280001,24.879999,25.150000,23.813755,1972700
2013-11-12,24.980000,25.760000,24.969999,25.559999,24.201971,3429900
2013-11-13,25.530001,26.070000,25.440001,26.010000,24.628063,2516300
2013-11-14,26.030001,26.250000,25.940001,26.070000,24.684875,1890000
2013-11-15,26.070000,26.200001,25.879999,25.930000,24.552317,1644600
2013-11-18,26.000000,26.000000,25.290001,25.330000,23.984194,2616100
2013-11-19,25.680000,25.799999,25.049999,25.120001,23.785353,2420900
2013-11-20,25.120001,25.889999,25.110001,25.670000,24.306129,3073900
2013-11-21,25.799999,26.670000,25.670000,26.570000,25.158304,3682300
2013-11-22,26.270000,26.650000,26.270000,26.510000,25.101498,1881000
2013-11-25,26.590000,26.750000,26.219999,26.719999,25.300341,1693400
2013-11-26,26.469999,26.700001,26.330000,26.480000,25.073090,2227500
2013-11-27,26.440001,26.650000,26.299999,26.610001,25.196188,1741800
2013-11-29,26.629999,26.780001,26.510000,26.590000,25.177246,865900
2013-12-02,26.590000,27.370001,26.430000,27.180000,25.735899,3088800
2013-12-03,27.110001,27.639999,27.049999,27.580000,26.114651,2986800
2013-12-04,27.400000,27.740000,27.190001,27.629999,26.161987,2589900
2013-12-05,27.799999,28.309999,27.700001,28.150000,26.654360,2782700
2013-12-06,28.480000,28.480000,27.469999,27.500000,26.038902,3264600
2013-12-09,27.690001,28.540001,27.490000,28.430000,26.919489,3125500
2013-12-10,28.410000,28.500000,28.059999,28.240000,26.739580,1863600
2013-12-11,28.350000,28.559999,27.840000,27.870001,26.389236,1930400
2013-12-12,27.850000,28.129999,27.629999,27.730000,26.256681,1609300
2013-12-13,27.680000,27.760000,27.280001,27.320000,25.868464,2170700
2013-12-16,27.500000,27.870001,27.410000,27.670000,26.199863,2249800
2013-12-17,27.780001,28.610001,27.670000,28.410000,26.900549,3261400
2013-12-18,28.350000,28.440001,27.610001,27.969999,26.483923,2640000
