symbol,date_p,num_p,price_p,date_s,num_s,price_s
HRB,2018-07-16,250,23.92,2018-08-30,250,26.8944
HRB,2018-07-12,100,24.01,2018-08-22,100,26.78
NKE,2017-09-29,40,52.28
AAPL,2017-10-12,20,156.8526
AAPL,2018-01-31,20,167.04
