Date,Open,High,Low,Close,Adj Close,Volume
1987-09-10,167.44000,168.98000,167.44000,168.97000,168.97000,1798000
1987-09-11,168.97000,170.53999,168.75000,170.53999,170.53999,1780000
1987-09-14,170.53000,170.95000,170.14999,170.42999,170.42999,1544000
1987-09-15,170.42000,170.44000,169.13001,169.20000,169.20000,1362000
1987-09-16,169.31000,170.03000,168.82001,168.92000,168.92000,1957000
1987-09-17,168.92000,169.25000,168.53999,168.82001,168.82001,1507000
1987-09-18,168.82001,169.03999,168.75000,168.75000,168.75000,1881000
1987-09-21,168.75000,169.13001,167.36000,167.39999,167.39999,1701000
1987-09-22,167.39999,167.56000,166.69000,167.56000,167.56000,2095000
1987-09-23,167.56000,168.64999,167.55000,168.64999,168.64999,2203000
1987-09-24,168.64999,169.06000,168.52000,168.72000,168.72000,1622000
1987-09-25,168.72000,168.85001,168.42999,168.85001,168.85001,1380000
1987-09-28,168.84000,169.80000,168.84000,169.52000,169.52000,1881000
1987-09-29,169.52000,169.69000,168.89000,169.06000,169.06000,1735000
1987-09-30,169.05000,170.81000,168.67999,170.81000,170.81000,1831000
1987-10-01,170.82001,171.39999,170.25000,171.39999,171.39999,1932000
1987-10-02,171.39999,172.09000,171.39999,172.08000,172.08000,1891000
1987-10-05,172.09000,172.55000,172.09000,172.53999,172.53999,1597000
1987-10-06,172.55000,172.61999,170.13001,170.21001,170.21001,1756000
1987-10-07,170.21001,170.21001,168.48000,168.86999,168.86999,1863000
1987-10-08,168.86999,168.98000,166.78000,167.06000,167.06000,1987000
1987-10-09,167.06000,167.11000,166.01000,166.11999,166.11999,1583000
1987-10-12,166.11000,166.11000,163.39000,163.86000,163.86000,1419000
1987-10-13,163.86000,164.42000,163.63001,164.14000,164.14000,1729000
1987-10-14,164.14999,164.16000,161.59000,161.78999,161.78999,2074000
1987-10-15,161.80000,161.80000,159.60001,159.66000,159.66000,2632000
1987-10-16,159.66000,159.66000,152.61000,152.74000,152.74000,3385000
1987-10-19,152.74000,152.74000,133.60001,133.60001,133.60001,6043000
1987-10-20,133.60001,133.60001,120.21000,121.39000,121.39000,6081000
1987-10-21,121.39000,130.77000,121.39000,130.64999,130.64999,4496000
1987-10-22,130.64999,130.64999,124.47000,124.57000,124.57000,3922000
1987-10-23,124.58000,124.58000,121.36000,121.59000,121.59000,2456000
1987-10-26,121.58000,121.58000,110.32000,110.33000,110.33000,3088000
1987-10-27,110.32000,113.12000,108.37000,108.51000,108.51000,2602000
1987-10-28,105.46000,108.50000,105.46000,106.08000,106.08000,2794000
1987-10-29,106.07000,110.80000,106.06000,110.80000,110.80000,2581000
1987-10-30,110.79000,118.26000,107.90000,118.26000,118.26000,3034000
1987-11-02,118.27000,120.22000,118.27000,120.21000,120.21000,1760000
1987-11-03,120.20000,122.05000,116.92000,117.72000,117.72000,2278000
1987-11-04,117.73000,117.75000,116.39000,117.20000,117.20000,2025000
1987-11-05,117.19000,118.94000,117.18000,118.94000,118.94000,2260000
1987-11-06,118.94000,120.09000,118.94000,119.33000,119.33000,2282900
1987-11-09,119.32000,119.32000,117.26000,117.62000,117.62000,1606900
1987-11-10,117.62000,117.62000,115.25000,115.56000,115.56000,1843100
1987-11-11,115.57000,116.68000,115.50000,116.26000,116.26000,1478500
1987-11-12,116.26000,118.67000,116.21000,118.35000,118.35000,2062800
1987-11-13,118.35000,118.64000,118.10000,118.31000,118.31000,1749200
1987-11-16,118.32000,119.02000,118.01000,118.27000,118.27000,1643400
1987-11-17,118.26000,118.27000,116.04000,116.30000,116.30000,1482400
1987-11-18,116.30000,116.69000,115.76000,116.69000,116.69000,1582600
1987-11-19,116.69000,116.69000,115.04000,115.11000,115.11000,1571400
1987-11-20,115.11000,115.15000,113.84000,114.45000,114.45000,1891700
1987-11-23,114.45000,114.50000,114.09000,114.47000,114.47000,1431600
1987-11-24,114.47000,115.88000,114.29000,115.58000,115.58000,1995200
1987-11-25,115.58000,115.97000,115.39000,115.97000,115.97000,1397800
1987-11-27,115.96000,115.96000,115.53000,115.61000,115.61000,863600
1987-11-30,115.60000,115.63000,110.56000,111.70000,111.70000,2689100
1987-12-01,111.69000,112.09000,111.13000,111.27000,111.27000,1498700
1987-12-02,111.27000,111.30000,110.83000,111.11000,111.11000,1488900
1987-12-03,111.11000,111.15000,108.86000,108.94000,108.94000,2041600
1987-12-04,108.94000,108.94000,106.19000,106.50000,106.50000,1848000
1987-12-07,106.49000,106.52000,106.16000,106.43000,106.43000,1466600
1987-12-08,106.44000,107.24000,106.38000,107.24000,107.24000,2273100
1987-12-09,107.24000,108.89000,107.24000,108.89000,108.89000,2314300
1987-12-10,108.89000,109.06000,107.20000,108.62000,108.62000,1889600
1987-12-11,108.63000,109.32000,108.54000,109.32000,109.32000,1516800
1987-12-14,109.31000,112.07000,109.10000,112.07000,112.07000,1876800
1987-12-15,112.07000,114.36000,112.07000,114.36000,114.36000,2149700
1987-12-16,114.36000,116.84000,113.87000,116.82000,116.82000,1938200
1987-12-17,116.82000,117.31000,116.25000,116.94000,116.94000,1917800
1987-12-18,116.94000,119.46000,116.45000,119.46000,119.46000,2762200
1987-12-21,119.45000,119.92000,119.25000,119.92000,119.92000,1617900
1987-12-22,119.92000,119.93000,118.75000,119.31000,119.31000,1926500
1987-12-23,119.31000,120.82000,119.31000,120.80000,120.80000,2031100
1987-12-24,120.79000,121.59000,120.79000,121.59000,121.59000,1088000
1987-12-28,121.59000,121.59000,118.68000,119.00000,119.00000,1312200
1987-12-29,118.99000,118.99000,118.02000,118.30000,118.30000,1115800
1987-12-30,118.31000,119.50000,118.30000,119.50000,119.50000,1492300
1987-12-31,119.50000,120.42000,118.61000,120.42000,120.42000,1701400
1988-01-04,120.43000,123.51000,120.43000,123.50000,123.50000,1818100
1988-01-05,123.50000,126.55000,123.50000,126.13000,126.13000,2095200
1988-01-06,126.13000,127.00000,126.13000,127.00000,127.00000,1697300
1988-01-07,127.00000,128.03000,126.53000,128.03000,128.03000,1753600
1988-01-08,128.03000,128.19000,123.84000,123.84000,123.84000,1973000
1988-01-11,123.84000,123.84000,121.58000,122.52000,122.52000,1589800
1988-01-12,122.51000,122.67000,120.52000,121.23000,121.23000,1657300
1988-01-13,121.24000,121.45000,120.49000,121.30000,121.30000,1540200
1988-01-14,121.31000,121.98000,121.15000,121.78000,121.78000,1405700
1988-01-15,121.78000,124.20000,121.78000,123.67000,123.67000,1979400
1988-01-18,123.68000,124.10000,123.68000,124.05000,124.05000,1351000
1988-01-19,124.04000,124.44000,123.61000,124.44000,124.44000,1535500
1988-01-20,124.44000,124.44000,121.49000,121.76000,121.76000,1816600
1988-01-21,121.76000,121.76000,121.12000,121.63000,121.63000,1580800
1988-01-22,121.63000,122.79000,121.63000,122.79000,122.79000,1470500
1988-01-25,122.78000,123.68000,122.78000,123.68000,123.68000,2752500
1988-01-26,123.67000,123.68000,123.17000,123.25000,123.25000,1383800
1988-01-27,123.24000,123.64000,123.22000,123.37000,123.37000,1763600
1988-01-28,123.37000,124.32000,123.37000,124.31000,124.31000,1664300
1988-01-29,124.31000,125.35000,124.31000,125.24000,125.24000,2118800
1988-02-01,125.24000,126.22000,125.24000,125.72000,125.72000,2106600
1988-02-02,125.73000,125.94000,125.30000,125.94000,125.94000,1649200
1988-02-03,125.95000,126.32000,125.33000,125.38000,125.38000,2372700
1988-02-04,125.39000,125.60000,125.07000,125.51000,125.51000,1864900
1988-02-05,125.51000,125.99000,125.25000,125.77000,125.77000,1613100
1988-02-08,125.77000,125.77000,124.94000,125.26000,125.26000,1688500
1988-02-09,125.26000,125.52000,125.08000,125.52000,125.52000,1623500
1988-02-10,125.51000,127.18000,125.51000,127.16000,127.16000,1879800
1988-02-11,127.16000,128.22000,127.16000,128.03000,128.03000,2007600
1988-02-12,128.03000,129.21001,128.03000,129.21001,129.21001,1771900
1988-02-16,129.21001,129.91000,129.16000,129.89999,129.89999,1353800
1988-02-17,129.91000,130.66000,129.91000,130.22000,130.22000,1768300
